10:34:06.678 [main] INFO  o.s.t.c.s.DefaultTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
10:34:06.707 [main] INFO  o.s.t.c.s.DefaultTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@16022d9d, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@7e9a5fbe, org.springframework.test.context.support.DirtiesContextTestExecutionListener@44a3ec6b, org.springframework.test.context.transaction.TransactionalTestExecutionListener@71623278, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@768b970c]
10:34:06.825 [main] INFO  o.s.c.s.GenericApplicationContext - Refreshing org.springframework.context.support.GenericApplicationContext@32cf48b7: startup date [Mon Aug 31 10:34:06 CEST 2015]; root of context hierarchy
10:34:07.487 [Thread-0] INFO  o.s.c.s.GenericApplicationContext - Closing org.springframework.context.support.GenericApplicationContext@32cf48b7: startup date [Mon Aug 31 10:34:06 CEST 2015]; root of context hierarchy
10:40:33.185 [main] INFO  o.s.t.c.s.DefaultTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
10:40:33.201 [main] INFO  o.s.t.c.s.DefaultTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@16022d9d, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@7e9a5fbe, org.springframework.test.context.support.DirtiesContextTestExecutionListener@44a3ec6b, org.springframework.test.context.transaction.TransactionalTestExecutionListener@71623278, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@768b970c]
10:40:33.293 [main] INFO  o.s.c.s.GenericApplicationContext - Refreshing org.springframework.context.support.GenericApplicationContext@32cf48b7: startup date [Mon Aug 31 10:40:33 CEST 2015]; root of context hierarchy
10:40:33.904 [Thread-0] INFO  o.s.c.s.GenericApplicationContext - Closing org.springframework.context.support.GenericApplicationContext@32cf48b7: startup date [Mon Aug 31 10:40:33 CEST 2015]; root of context hierarchy
10:43:18.765 [main] INFO  o.s.t.c.s.DefaultTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
10:43:18.786 [main] INFO  o.s.t.c.s.DefaultTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@16022d9d, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@7e9a5fbe, org.springframework.test.context.support.DirtiesContextTestExecutionListener@44a3ec6b, org.springframework.test.context.transaction.TransactionalTestExecutionListener@71623278, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@768b970c]
10:43:18.905 [main] INFO  o.s.c.s.GenericApplicationContext - Refreshing org.springframework.context.support.GenericApplicationContext@32cf48b7: startup date [Mon Aug 31 10:43:18 CEST 2015]; root of context hierarchy
10:43:19.781 [Thread-0] INFO  o.s.c.s.GenericApplicationContext - Closing org.springframework.context.support.GenericApplicationContext@32cf48b7: startup date [Mon Aug 31 10:43:18 CEST 2015]; root of context hierarchy
10:50:40.230 [main] INFO  o.s.t.c.s.DefaultTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
10:50:40.246 [main] INFO  o.s.t.c.s.DefaultTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@16022d9d, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@7e9a5fbe, org.springframework.test.context.support.DirtiesContextTestExecutionListener@44a3ec6b, org.springframework.test.context.transaction.TransactionalTestExecutionListener@71623278, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@768b970c]
10:50:40.339 [main] INFO  o.s.c.s.GenericApplicationContext - Refreshing org.springframework.context.support.GenericApplicationContext@32cf48b7: startup date [Mon Aug 31 10:50:40 CEST 2015]; root of context hierarchy
10:50:40.935 [Thread-0] INFO  o.s.c.s.GenericApplicationContext - Closing org.springframework.context.support.GenericApplicationContext@32cf48b7: startup date [Mon Aug 31 10:50:40 CEST 2015]; root of context hierarchy
10:52:39.972 [main] INFO  o.s.t.c.s.DefaultTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
10:52:39.994 [main] INFO  o.s.t.c.s.DefaultTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@1a27a268, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@20176742, org.springframework.test.context.support.DirtiesContextTestExecutionListener@607c2e83, org.springframework.test.context.transaction.TransactionalTestExecutionListener@78d1cbf1, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@15a4792f]
10:52:40.106 [main] INFO  o.s.c.s.GenericApplicationContext - Refreshing org.springframework.context.support.GenericApplicationContext@359430ca: startup date [Mon Aug 31 10:52:40 CEST 2015]; root of context hierarchy
10:52:40.736 [Thread-0] INFO  o.s.c.s.GenericApplicationContext - Closing org.springframework.context.support.GenericApplicationContext@359430ca: startup date [Mon Aug 31 10:52:40 CEST 2015]; root of context hierarchy
