09:48:11.232 [main] INFO  o.s.t.c.s.DefaultTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
09:48:11.267 [main] INFO  o.s.t.c.s.DefaultTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@103f852, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@587c290d, org.springframework.test.context.support.DirtiesContextTestExecutionListener@4516af24, org.springframework.test.context.transaction.TransactionalTestExecutionListener@4ae82894, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@543788f3]
09:48:11.397 [main] INFO  o.s.c.s.GenericApplicationContext - Refreshing org.springframework.context.support.GenericApplicationContext@32cf48b7: startup date [Tue Nov 15 09:48:11 CET 2016]; root of context hierarchy
09:48:12.088 [main] INFO  n.n.o.service.HarvestServiceImpl - Finished server test. 
09:48:12.088 [main] INFO  n.n.o.service.HarvestServiceImpl - Finished all servers.
09:48:12.093 [Thread-0] INFO  o.s.c.s.GenericApplicationContext - Closing org.springframework.context.support.GenericApplicationContext@32cf48b7: startup date [Tue Nov 15 09:48:11 CET 2016]; root of context hierarchy
10:27:41.592 [main] INFO  o.s.t.c.s.DefaultTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
10:27:41.612 [main] INFO  o.s.t.c.s.DefaultTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@103f852, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@587c290d, org.springframework.test.context.support.DirtiesContextTestExecutionListener@4516af24, org.springframework.test.context.transaction.TransactionalTestExecutionListener@4ae82894, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@543788f3]
10:27:41.693 [main] INFO  o.s.c.s.GenericApplicationContext - Refreshing org.springframework.context.support.GenericApplicationContext@32cf48b7: startup date [Tue Nov 15 10:27:41 CET 2016]; root of context hierarchy
10:27:42.219 [main] INFO  n.n.o.service.HarvestServiceImpl - Finished server test. 
10:27:42.219 [main] INFO  n.n.o.service.HarvestServiceImpl - Finished all servers.
10:27:42.229 [Thread-0] INFO  o.s.c.s.GenericApplicationContext - Closing org.springframework.context.support.GenericApplicationContext@32cf48b7: startup date [Tue Nov 15 10:27:41 CET 2016]; root of context hierarchy
10:28:18.671 [main] INFO  o.s.t.c.s.DefaultTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
